H1,270,800,0.09,0.037,GOOD
H2,270,1200,0.13,4.847,LOF
H3,300,1000,0.11,0.071,GOOD
H4,330,1200,0.09,0.046,GOOD
H5,300,1000,0.11,0.092,GOOD
H6,330,800,0.13,0.049,GOOD
H7,270,1200,0.09,0.051,GOOD
H8,330,1200,0.13,1.002,LOF
H9,300,1000,0.11,0.067,GOOD
H10,270,800,0.13,0.071,GOOD
H11,330,800,0.09,0.044,GOOD
H12,300,1000,0.11,0.105,GOOD
H13,300,1000,0.11,0.033,GOOD
H14,300,1000,0.14,0.641,LOF
H15,300,673,0.11,0.100,GOOD
H16,300,1327,0.11,0.844,LOF
H17,349,1000,0.11,0.045,GOOD
H18,300,1000,0.11,0.024,GOOD
H19,251,1000,0.11,0.286,LOF
H20,300,1000,0.08,0.055,GOOD
H21,250,664,0.08,0.273,KH
H22,250,1336,0.14,19.137,LOF
H23,250,664,0.14,0.088,GOOD
H24,250,1336,0.08,0.085,GOOD
H25,350,1336,0.14,2.480,LOF
H26,350,664,0.14,0.046,GOOD
H27,350,1336,0.08,0.036,GOOD
H28,350,664,0.08,0.456,KH