V1,270,800,0.09,0.026,GOOD
V2,270,1200,0.13,5.310,LOF
V3,300,1000,0.11,0.059,GOOD
V4,330,1200,0.09,0.026,GOOD
V5,300,1000,0.11,0.068,GOOD
V6,330,800,0.13,0.033,GOOD
V7,270,1200,0.09,0.089,GOOD
V8,330,1200,0.13,1.301,LOF
V9,300,1000,0.11,0.026,GOOD
V10,270,800,0.13,0.103,GOOD
V11,330,800,0.09,0.025,GOOD
V12,300,1000,0.11,0.134,GOOD
V13,300,1000,0.11,0.026,GOOD
V14,300,1000,0.14,1.192,LOF
V15,300,673,0.11,0.083,GOOD
V16,300,1327,0.11,1.013,LOF
V17,349,1000,0.11,0.034,GOOD
V18,300,1000,0.11,0.044,GOOD
V19,251,1000,0.11,0.321,LOF
V20,300,1000,0.08,0.035,GOOD
V21,250,664,0.08,0.238,KH
V22,250,1336,0.14,18.429,LOF
V23,250,664,0.14,0.131,GOOD
V24,250,1336,0.08,0.047,GOOD
V25,350,1336,0.14,2.633,LOF
V26,350,664,0.14,0.045,GOOD
V27,350,1336,0.08,0.029,GOOD
V28,350,664,0.08,0.483,KH